Username,Yang sudah diskalakan,,,,,,,Yang belum diskalakan,,,,,,,,,,
,att1,att2,att3,att4,att5,att6,label,att1,att2,att3,att4,att5,att6,Atribut,Rata,Deviasi,Min,Max
food_abeolac,139.8867475,0,0,94.141,1.661,0,1,1.398867475,0,0,2824.23,49.83,0,att1,11.462,27.862,0,176.884
food_anakjajan,21.70545205,0,3.780508508,57.6,0.017333333,10.327,1,0.217054521,0,0.037805085,1728,0.51999999,309.81,att2,14.277,40.854,0,288.618
food_aselaastrelia,0,0,20.6824015,6.534,9.860333333,4.564,1,0,0,0.206824015,196.02,295.81,136.92,att3,23.13,76.822,0,792.021
food_bakingmoments,100.991216,0,30.11330167,70.80466667,4.393333333,0,1,1.00991216,0,0.301133017,2124.14,131.8,0,att4,21.771,25.474,0.004,99.278
food_bloomzy,1.50168593,0,4.970070348,20.42366667,4.331333333,0,1,0.015016859,0,0.049700703,612.7100001,129.94,0,att5,21.995,31.31,0.004,99.991
food_boterkaaseierenblog,1.572932986,0,0,73.29433333,0.561666667,2.407333333,1,0.01572933,0,0,2198.83,16.85000001,72.21999999,att6,19.2,21.932,0,82.22
food_brooklynjapwife,76.58612065,0,15.41030883,99.27766667,0.004,0,1,0.765861206,0,0.154103088,2978.33,0.12,0,,,,,
food_carlabananax3,23.86030999,1.996024162,0,52.862,0.947666667,1.273333333,1,0.2386031,0.019960242,0,1585.86,28.43000001,38.19999999,,,,,
food_chef_meir_adoni,32.45552298,0,43.67385702,81.52233333,0.125666667,0,1,0.32455523,0,0.43673857,2445.67,3.77000001,0,,,,,
food_dianamelina,1.171629452,0,23.12955543,47.636,0.134666667,29.07,1,0.011716295,0,0.231295554,1429.08,4.04000001,872.1,Atribut,Rata,Deviasi,Min,Max
food_dobroty_od_a,7.798140708,0,0,86.99533333,0.141333333,0.226333333,1,0.077981407,0,0,2609.86,4.23999999,6.78999999,att1,0.115,0.279,0,1.769
food_erchedepe,0,0,2.779953207,19.98933333,7.210666667,10.70533333,1,0,0,0.027799532,599.6799999,216.32,321.1599999,att2,0.125,0.327,0,2.545
food_erwinanita,8.171363797,1.936419661,2.536818132,13.18466667,2.966,19.70633333,1,0.081713638,0.019364197,0.025368181,395.5400001,88.98,591.1899999,att3,0.168,0.299,0,1.685
food_ewelinaeve,72.00093623,0,26.8355917,61.84666667,0.103666667,5.797333333,1,0.720009362,0,0.268355917,1855.4,3.11000001,173.92,att4,653.128,764.208,0.11,2978.33
food_iamkeerthi,4.663708835,0,9.019031212,32.90466667,1.775666667,10.521,1,0.046637088,0,0.090190312,987.1400001,53.27000001,315.63,att5,659.853,939.304,0.12,2999.74
food_ichakhairunissa,54.16475743,0,13.58914544,49.74933333,2.029,16.46,1,0.541647574,0,0.135891454,1492.48,60.87,493.8,att6,575.991,657.956,0,2466.59
food_in.happenstance,27.84813586,0,0,58.416,0.559666667,19.66566667,1,0.278481359,0,0,1752.48,16.79000001,589.9700001,,,,,
food_ingepurnamasari,0,0,98.33894293,25.25466667,7.187666667,24.56966667,1,0,0,0.983389429,757.6400001,215.63,737.0900001,,,,,
food_irmanbob,55.99855071,2.331782209,0,56.00066667,6.023666667,0.138333333,1,0.559985507,0.023317822,0,1680.02,180.71,4.14999999,,,,,
food_jerome_htz,75.56551896,0,23.77361359,59.31,0.097,6.684333333,1,0.75565519,0,0.237736136,1779.3,2.91,200.53,,,,,
food_kristantohalim,0,0,0,13.717,0.110666667,9.083666667,1,0,0,0,411.51,3.32000001,272.51,,,,,
food_laurensiayuli,11.90624834,0,1.815851018,33.11433333,4.944333333,7.054333333,1,0.119062483,0,0.01815851,993.4299999,148.33,211.63,,,,,
food_makansukasukaloe,32.32679778,0,0,75.241,2.532666667,0,1,0.323267978,0,0,2257.23,75.98000001,0,,,,,
food_mikahara_87,0,0,94.24213032,21.96733333,1.079333333,37.85466667,1,0,0,0.942421303,659.0199999,32.37999999,1135.64,,,,,
food_nick.birc,14.21024136,0,6.198051478,45.73566667,3.974666667,26.65933333,1,0.142102414,0,0.061980515,1372.07,119.24,799.7799999,,,,,
food_nmaria.dj,15.33602904,0,0,68.70833333,0.282333333,0.202666667,1,0.15336029,0,0,2061.25,8.46999999,6.08000001,,,,,
food_nurilhilda,8.856777474,0,1.49751534,34.408,0.457666667,13.34566667,1,0.088567775,0,0.014975153,1032.24,13.73000001,400.3700001,,,,,
food_parischezsharon,17.71560538,0,8.790955497,71.46733333,1.732,1.121333333,1,0.177156054,0,0.087909555,2144.02,51.96,33.63999999,,,,,
food_pinsudans,100.0080884,0,50.64002338,40.26433333,16.89966667,19.63633333,1,1.000080884,0,0.506400234,1207.93,506.9900001,589.0899999,,,,,
